Team,Player,month,m,x_1,x_2,Intercept,WPA,Cent%,BABIP,BB/K,LD%,GB%,Oppo%,FB%,HR/FB,Pull%
BAL,Ryan Mountcastle,4,91,18,6,1,-0.648333333,0.022166667,-0.018333333,-0.151666667,-0.055833333,-0.0295,0.009666667,0.085166667,-0.1775,-0.032
,,5,86,22,9,1,-0.308333333,-0.016833333,0.042666667,-0.181666667,0.081166667,0.0685,0.017666667,-0.149833333,0.0415,-0.001
,,6,101,33,13,1,0.951666667,-0.052833333,0.066666667,0.028333333,0.050166667,-0.0325,-0.040333333,-0.017833333,0.0815,0.093
,,7,73,15,6,1,-0.098333333,0.096166667,-0.071333333,0.138333333,0.015166667,0.0045,-0.012333333,-0.019833333,-0.0785,-0.083
,,8,70,25,14,1,0.171666667,-0.069833333,0.049666667,0.118333333,-0.058833333,0.0335,-0.017333333,0.025166667,0.0995,0.087
,,9,101,21,9,1,-0.068333333,0.021166667,-0.069333333,0.048333333,-0.031833333,-0.0445,0.042666667,0.077166667,0.0335,-0.064
,Trey Mancini,4,97,23,10,1,-0.56,0.014,-0.043833333,-0.048333333,-0.062666667,0.066833333,-0.036833333,-0.004166667,0.066,0.022833333
,,5,97,31,14,1,0.66,-0.022,0.052166667,0.241666667,0.091333333,-0.105166667,0.062166667,0.013833333,0.089,-0.040166667
,,6,101,21,6,1,-0.11,0.043,-0.039833333,-0.078333333,-0.028666667,0.019833333,-0.040833333,0.008833333,-0.021,-0.003166667
,,7,87,26,13,1,0.53,-0.028,0.045166667,-0.148333333,-0.043666667,-0.087166667,0.120166667,0.130833333,0.021,-0.092166667
,,8,98,22,6,1,-0.52,0.046,-0.012833333,-0.258333333,0.007333333,0.060833333,-0.101833333,-0.068166667,-0.095,0.055833333
,,9,65,15,5,1,1.39E-17,-0.053,-0.000833333,0.291666667,0.036333333,0.044833333,-0.002833333,-0.081166667,-0.06,0.056833333
BOS,Rafael Devers,4,92,27,13,1,-0.006666667,0.052333333,-0.0055,0.026666667,0.047,-0.004666667,-0.076833333,-0.042166667,0.070333333,0.0245
,,5,94,25,18,1,0.513333333,-0.081666667,0.0395,-0.273333333,-0.065,0.095333333,0.118166667,-0.030166667,0.128333333,-0.0365
,,6,101,28,12,1,0.303333333,-0.075666667,-0.0065,-0.043333333,-0.013,0.008333333,-0.002833333,0.004833333,-0.054666667,0.0785
,,7,87,27,13,1,-0.166666667,-0.000666667,-0.0025,0.036666667,-0.071,-0.053666667,-0.026833333,0.124833333,0.013333333,0.0265
,,8,108,25,11,1,-0.676666667,0.049333333,-0.0865,0.376666667,0.036,-0.041666667,-0.006833333,0.004833333,-0.078666667,-0.0415
,,9,94,27,6,1,0.033333333,0.056333333,0.0615,-0.123333333,0.066,-0.003666667,-0.004833333,-0.062166667,-0.078666667,-0.0515
,J.D. Martinez,4,94,33,19,1,0.783333333,-0.021666667,0.048666667,0.14,-0.112166667,0.063333333,-0.024,0.048833333,0.109333333,0.045666667
,,5,98,30,6,1,0.873333333,0.101333333,0.031666667,0.1,0.063833333,0.023333333,-0.095,-0.087166667,-0.043666667,-0.006333333
,,6,99,25,13,1,-0.096666667,0.073333333,-0.038333333,-0.08,-0.050166667,-0.047666667,-0.009,0.097833333,-0.058666667,-0.064333333
,,7,90,22,13,1,-0.496666667,-0.076666667,-0.052333333,0.04,0.014833333,-0.001666667,0.052,-0.013166667,-0.015666667,0.024666667
,,8,98,27,11,1,-0.786666667,-0.016666667,0.009666667,-0.2,-0.010166667,-0.073666667,0.065,0.083833333,-0.049666667,-0.048333333
,,9,83,24,11,1,-0.276666667,-0.059666667,0.000666667,5.55E-17,0.093833333,0.036333333,0.011,-0.130166667,0.058333333,0.048666667
NYY,Aaron Judge,4,81,22,10,1,-0.518333333,-0.002,-0.025833333,0.166666667,0.036666667,-0.014333333,-0.016333333,-0.022333333,0.0915,0.0185
,,5,99,32,10,1,0.511666667,0.059,0.080166667,-0.033333333,0.044666667,-0.018333333,-0.048333333,-0.026333333,-0.0155,-0.0105
,,6,94,24,9,1,-0.538333333,-0.057,-0.003833333,0.036666667,0.023666667,-0.027333333,0.018666667,0.003666667,-0.0595,0.0385
,,7,55,14,5,1,-0.548333333,0.025,-0.050833333,-0.133333333,-0.063333333,0.116666667,-0.053333333,-0.053333333,-0.0455,0.0275
